PLACE,Year,Season,Crop,Area,Production
MYSORE,1997,Kharif     ,Arhar/Tur,7509,1812
MYSORE,1997,Kharif     ,Bajra,365,161
MYSORE,1997,Kharif     ,Black pepper,12,3
MYSORE,1997,Kharif     ,Dry chillies,3097,768
MYSORE,1997,Kharif     ,Dry ginger,62,80
MYSORE,1997,Kharif     ,Groundnut,36156,36705
MYSORE,1997,Kharif     ,Horse-gram,22413,11115
MYSORE,1997,Kharif     ,Jowar,39698,35995
MYSORE,1997,Kharif     ,Maize,20029,65080
MYSORE,1997,Kharif     ,Paddy,105069,459876
MYSORE,1997,Kharif     ,Ragi,90302,133034
MYSORE,1997,Kharif     ,Rice,105069,306717
MYSORE,1997,Rabi       ,Dry chillies,207,272
MYSORE,1997,Rabi       ,Groundnut,1466,2153
MYSORE,1997,Rabi       ,Horse-gram,36782,13069
MYSORE,1997,Rabi       ,Jowar,1026,462
MYSORE,1997,Rabi       ,Maize,1338,2712
MYSORE,1997,Rabi       ,Paddy,817,2649
MYSORE,1997,Rabi       ,Ragi,6089,7875
MYSORE,1997,Rabi       ,Rice,817,1767
MYSORE,1997,Rabi       ,Wheat,4,4
MYSORE,1997,Summer     ,Jowar,490,1208
MYSORE,1997,Summer     ,Maize,945,2045
MYSORE,1997,Summer     ,Paddy,20560,85453
MYSORE,1997,Summer     ,Ragi,4857,8407
MYSORE,1997,Summer     ,Rice,20560,56994
MYSORE,1997,Whole Year ,Arecanut,600,426
MYSORE,1997,Whole Year ,Cardamom,16,1
MYSORE,1997,Whole Year ,Coriander,870,86
MYSORE,1997,Whole Year ,Garlic,98,201
MYSORE,1997,Whole Year ,Sugarcane,19349,2058734
MYSORE,1997,Whole Year ,Turmeric,2316,15147
MYSORE,1998,Kharif     ,Arhar/Tur,6687,1957
MYSORE,1998,Kharif     ,Bajra,6,3
MYSORE,1998,Kharif     ,Castor seed,2476,1146
MYSORE,1998,Kharif     ,Cotton(lint),59668,153042
MYSORE,1998,Kharif     ,Dry ginger,140,1830
MYSORE,1998,Kharif     ,Groundnut,10799,12051
MYSORE,1998,Kharif     ,Horse-gram,25569,11611
MYSORE,1998,Kharif     ,Jowar,15239,16502
MYSORE,1998,Kharif     ,Maize,17459,74847
MYSORE,1998,Kharif     ,Moong(Green Gram),2309,454
MYSORE,1998,Kharif     ,Niger seed,2809,578
MYSORE,1998,Kharif     ,Onion,12,54
MYSORE,1998,Kharif     ,Peas & beans (Pulses),22,202
MYSORE,1998,Kharif     ,Potato,28,309
MYSORE,1998,Kharif     ,Ragi,71644,115488
MYSORE,1998,Kharif     ,Rice,95399,291632
MYSORE,1998,Kharif     ,Sesamum,6314,3593
MYSORE,1998,Kharif     ,Soyabean,8,9
MYSORE,1998,Kharif     ,Sunflower,1268,778
MYSORE,1998,Rabi       ,Gram,923,213
MYSORE,1998,Rabi       ,Groundnut,991,1098
MYSORE,1998,Rabi       ,Horse-gram,24298,10110
MYSORE,1998,Rabi       ,Jowar,1130,777
MYSORE,1998,Rabi       ,Maize,109,215
MYSORE,1998,Rabi       ,Moong(Green Gram),778,349
MYSORE,1998,Rabi       ,Peas & beans (Pulses),17,168
MYSORE,1998,Rabi       ,Ragi,10701,14587
MYSORE,1998,Rabi       ,Rice,612,1336
MYSORE,1998,Rabi       ,Sunflower,130,36
MYSORE,1998,Summer     ,Jowar,1123,2979
MYSORE,1998,Summer     ,Maize,34,77
MYSORE,1998,Summer     ,Peas & beans (Pulses),121,1048
MYSORE,1998,Summer     ,Ragi,1325,3085
MYSORE,1998,Summer     ,Rice,13655,40058
MYSORE,1998,Summer     ,Sunflower,5,3
MYSORE,1998,Whole Year ,Arecanut,453,1589
MYSORE,1998,Whole Year ,Black pepper,5,13
MYSORE,1998,Whole Year ,Coconut ,11821,42095
MYSORE,1998,Whole Year ,Coriander,639,63
MYSORE,1998,Whole Year ,Dry chillies,2000,564
MYSORE,1998,Whole Year ,Turmeric,331,1092
MYSORE,1999,Kharif     ,Arhar/Tur,6465,3617
MYSORE,1999,Kharif     ,Bajra,52,29
MYSORE,1999,Kharif     ,Castor seed,2727,1583
MYSORE,1999,Kharif     ,Cotton(lint),63107,154105
MYSORE,1999,Kharif     ,Dry ginger,145,1893
MYSORE,1999,Kharif     ,Groundnut,9189,5646
MYSORE,1999,Kharif     ,Horse-gram,20126,18986
MYSORE,1999,Kharif     ,Jowar,18560,20711
MYSORE,1999,Kharif     ,Maize,13391,41903
MYSORE,1999,Kharif     ,Moong(Green Gram),2237,774
MYSORE,1999,Kharif     ,Niger seed,2897,597
MYSORE,1999,Kharif     ,Other Kharif pulses,16684,8282
MYSORE,1999,Kharif     ,Ragi,55044,59440
MYSORE,1999,Kharif     ,Rice,91444,264324
MYSORE,1999,Kharif     ,Sesamum,7462,2786
MYSORE,1999,Kharif     ,Small millets,4,1
MYSORE,1999,Kharif     ,Soyabean,16,15
MYSORE,1999,Kharif     ,Sunflower,1713,615
